interactor A gene symbol	interactor B gene symbol	interactor A Uniprot AC	interactor B Uniprot AC
TP53	SMARCC1	P04637	Q92922
TP53	SMARCD2	P04637	Q92925
TP53	SMARCD3	P04637	Q6STE5
TP53	SMN1	P04637	-
TP53	SNAI1	P04637	O95863
TP53	SNRPA1	P04637	P09661
TP53	SNRPD3	P04637	P62318
TP53	SOX4	P04637	Q06945
TP53	SP1	P04637	P08047
TP53	SSB	P04637	P05455
TP53	SST	P04637	P61278
TP53	SSX5	P04637	O60225
TP53	STAT6	P04637	P42226
TP53	STK4	P04637	Q13043
TP53	AURKA	P04637	O14965
TP53	STK11	P04637	Q15831
TP53	SUPT6H	P04637	Q7KZ85
TP53	MED22	P04637	Q15528
TP53	SYK	P04637	P43405
TP53	SYN2	P04637	Q92777
TP53	SYT5	P04637	O00445
TP53	TADA2A	P04637	O75478
TP53	TAF5	P04637	Q15542
TP53	TAF6	P04637	P49848
TP53	TAF9	P04637	Q16594
TP53	TAF10	P04637	Q12962
TP53	TCF4	P04637	P15884
TP53	TCP1	P04637	P17987
TP53	TERT	P04637	O14746
TP53	TFAP2B	P04637	Q92481
TP53	TFAP2C	P04637	Q92754
TP53	TFDP1	P04637	Q14186
TP53	TFRC	P04637	P02786
TP53	TGM2	P04637	P21980
TP53	TOP1	P04637	P11387
TP53	TOP2A	P04637	P11388
TP53	TOP2B	P04637	Q02880
TP53	TP53	P04637	P04637
TP53	TP53BP1	P04637	Q12888
TP53	TP53BP2	P04637	Q13625
TP53	TP73	P04637	O15350
TP53	TPM1	P04637	P09493
TP53	TPM3	P04637	P06753
TP53	TPM4	P04637	P67936
TP53	CCT3	P04637	P49368
TP53	TSNAX	P04637	Q99598
TP53	DNAJC7	P04637	Q99615
TP53	TUBA4A	P04637	P68366
TP53	TUBB2A	P04637	Q13885
TP53	TUBG1	P04637	P23258
TP53	TWIST1	P04637	Q15672
TP53	UBB	P04637	P0CG47
TP53	UBC	P04637	P0CG48
TP53	UBE2N	P04637	P61088
TP53	UBE2V2	P04637	Q15819
TP53	UBE3A	P04637	Q05086
TP53	UMPS	P04637	P11172
TP53	COL14A1	P04637	Q05707
TP53	USP4	P04637	Q13107
TP53	USP1	P04637	O94782
TP53	USH2A	P04637	O75445
TP53	KDM6A	P04637	O15550
TP53	VASP	P04637	P50552
TP53	VIM	P04637	P08670
TP53	WHSC1	P04637	-
TP53	XPC	P04637	Q01831
TP53	YES1P1	P04637	-
TP53	YY1	P04637	P25490
TP53	YWHAE	P04637	P62258
TP53	ZIC3	P04637	O60481
TP53	ZNF79	P04637	Q15937
TP53	ZNF148	P04637	Q9UQR1
TP53	ZBTB17	P04637	Q13105
TP53	ZNF207	P04637	O43670
TP53	ZNF230	P04637	Q9UIE0
TP53	LAPTM5	P04637	Q13571
TP53	MOGS	P04637	Q13724
TP53	TUBA1A	P04637	Q71U36
TP53	USP7	P04637	Q93009
TP53	RAB7A	P04637	P51149
TP53	PRRC2A	P04637	P48634
TP53	AIMP2	P04637	Q13155
TP53	MAFK	P04637	O60675
TP53	TFPI2	P04637	P48307
TP53	KMT2D	P04637	O14686
TP53	NPRL3	P04637	Q12980
TP53	NCOA3	P04637	Q9Y6Q9
TP53	DGCR14	P04637	-
TP53	USP9X	P04637	Q93008
TP53	ARID1A	P04637	O14497
TP53	EEA1	P04637	Q15075
TP53	UTF1	P04637	Q5T230
TP53	SDPR	P04637	-
TP53	DYRK2	P04637	Q92630
TP53	TEAD2	P04637	Q15562
TP53	SUPT3H	P04637	O75486
TP53	SMARCA5	P04637	O60264
TP53	IRS4	P04637	O14654
TP53	RAE1	P04637	P78406
TP53	PPFIBP1	P04637	Q86W92
TP53	IKBKG	P04637	Q9Y6K9
TP53	DGKZ	P04637	Q13574
TP53	YBX3	P04637	P16989
TP53	PIAS1	P04637	O75925
TP53	CDC14B	P04637	O60729
TP53	CDC14A	P04637	Q9UNH5
TP53	USO1	P04637	O60763
TP53	TP63	P04637	Q9H3D4
TP53	NCOA1	P04637	Q15788
TP53	SOCS1	P04637	O15524
TP53	EIF3B	P04637	P55884
TP53	EIF3F	P04637	O00303
TP53	EIF3G	P04637	O75821
TP53	EIF3H	P04637	O15372
TP53	EIF3I	P04637	Q13347
TP53	IQGAP1	P04637	P46940
TP53	SQSTM1	P04637	Q13501
TP53	FUBP1	P04637	Q96AE4
TP53	FUBP3	P04637	Q96I24
TP53	TAF1C	P04637	Q15572
TP53	TAF1B	P04637	Q53T94
TP53	TAF1A	P04637	Q15573
TP53	RPL14	P04637	P50914
TP53	PIAS2	P04637	O75928
TP53	ASH2L	P04637	Q9UBL3
TP53	SART1	P04637	O43290
TP53	USP10	P04637	Q14694
TP53	MTA1	P04637	Q13330
TP53	AURKB	P04637	Q96GD4
TP53	MTA2	P04637	O94776
TP53	PTTG1	P04637	O95997
TP53	PIWIL1	P04637	Q96J94
TP53	TRIP12	P04637	Q14669
TP53	GTF3C4	P04637	Q9UKN8
TP53	GTF3C3	P04637	Q9Y5Q9
TP53	TCEAL1	P04637	Q15170
TP53	TXNL1	P04637	O43396
TP53	RECQL5	P04637	O94762
TP53	MED21	P04637	Q13503
TP53	EIF4E2	P04637	O60573
TP53	MYOT	P04637	Q9UBF9
TP53	TBPL1	P04637	P62380
TP53	SCAMP1	P04637	O15126
TP53	BAG5	P04637	Q9UL15
TP53	BAG2	P04637	O95816
TP53	RBM39	P04637	Q14498
TP53	AKAP12	P04637	Q02952
TP53	NCOR1	P04637	O75376
TP53	CLCA3P	P04637	-
TP53	NUP155	P04637	O75694
TP53	EIF5B	P04637	O60841
TP53	VPRBP	P04637	-
TP53	SETD1A	P04637	O15047
TP53	ZFYVE16	P04637	Q7Z3T8
TP53	URB2	P04637	Q14146
TP53	CUL7	P04637	Q14999
TP53	ARHGEF17	P04637	Q96PE2
TP53	PSMD6	P04637	Q15008
TP53	SEC24D	P04637	O94855
TP53	TBC1D4	P04637	O60343
TP53	SMG7	P04637	Q92540
TP53	G3BP2	P04637	Q9UN86
TP53	SUPT7L	P04637	O94864
TP53	GFPT2	P04637	O94808
TP53	USP15	P04637	Q9Y4E8
TP53	THRAP3	P04637	Q9Y2W1
TP53	RBX1	P04637	P62877
TP53	SCO2	P04637	O43819
TP53	PDCD6	P04637	O75340
TP53	TOM1L1	P04637	O75674
TP53	RANBP9	P04637	Q96S59
TP53	DNAJB6	P04637	O75190
TP53	HUWE1	P04637	Q7Z6Z7
TP53	LRPPRC	P04637	P42704
TP53	G3BP1	P04637	Q13283
TP53	TNK2	P04637	Q07912
TP53	ALYREF	P04637	Q86V81
TP53	OLIG2	P04637	Q13516
TP53	DCAF7	P04637	P61962
TP53	STAM2	P04637	O75886
TP53	STUB1	P04637	Q9UNE7
TP53	DNAJA2	P04637	O60884
TP53	AKR1A1	P04637	P14550
TP53	TUBB4B	P04637	P68371
TP53	MYL9	P04637	P24844
TP53	PRMT5	P04637	O14744
TP53	TAB1	P04637	Q15750
TP53	MAD2L2	P04637	Q9UI95
TP53	ZNHIT1	P04637	O43257
TP53	EIF3M	P04637	Q7L2H7
TP53	SYNCRIP	P04637	O60506
TP53	VAT1	P04637	Q99536
TP53	CARM1	P04637	Q86X55
TP53	NCOA2	P04637	Q15596
TP53	MYBBP1A	P04637	Q9BQG0
TP53	KAT5	P04637	Q92993
TP53	UBD	P04637	O15205
TP53	DCTN2	P04637	Q13561
TP53	LAMTOR5	P04637	O43504
TP53	CCT7	P04637	Q99832
TP53	CCT4	P04637	P50991
TP53	CCT2	P04637	P78371
TP53	TRIM3	P04637	O75382
TP53	TXNIP	P04637	Q9H3M7
TP53	IGF2BP1	P04637	Q9NZI8
TP53	IGF2BP3	P04637	O00425
TP53	CCT8	P04637	P50990
TP53	POLD3	P04637	Q15054
TP53	PTGES3	P04637	Q15185
TP53	ARPP21	P04637	Q9UBL0
TP53	ZNF268	P04637	Q14587
TP53	STARD10	P04637	Q9Y365
TP53	UTP14A	P04637	Q9BVJ6
TP53	TUBGCP2	P04637	Q9BSJ2
TP53	PPP1R13L	P04637	Q8WUF5
TP53	ADAM28	P04637	Q9UKQ2
TP53	PPARGC1A	P04637	Q9UBK2
TP53	DHRS4	P04637	Q9BTZ2
TP53	BRD8	P04637	Q9H0E9
TP53	SUB1	P04637	P53999
TP53	HNRNPA0	P04637	Q13151
TP53	PDIA5	P04637	Q14554
TP53	EBNA1BP2	P04637	Q99848
TP53	CKAP4	P04637	Q07065
TP53	SF3B2	P04637	Q13435
TP53	TMED1	P04637	Q13445
TP53	CNTRL	P04637	Q7Z7A1
TP53	WDR5	P04637	P61964
TP53	ZWINT	P04637	O95229
TP53	POLI	P04637	Q9UNA4
TP53	DDX20	P04637	Q9UHI6
TP53	SEC63	P04637	Q9UGP8
TP53	ZHX1	P04637	Q9UKY1
TP53	PARK7	P04637	Q99497
TP53	ECD	P04637	O95905
TP53	EXOSC8	P04637	Q96B26
TP53	SEC31A	P04637	O94979
TP53	DZIP1	P04637	Q86YF9
TP53	HABP4	P04637	Q5JVS0
TP53	SNW1	P04637	Q13573
TP53	FBXO21	P04637	O94952
TP53	EXOSC7	P04637	Q15024
TP53	RRP1B	P04637	Q14684
TP53	TTLL5	P04637	Q6EMB2
TP53	MRPS27	P04637	Q92552
TP53	CUL9	P04637	Q8IWT3
TP53	GPATCH8	P04637	Q9UKJ3
TP53	MAPK8IP3	P04637	Q9UPT6
TP53	FAM175B	P04637	-
TP53	PRRC2C	P04637	Q9Y520
TP53	SIN3B	P04637	O75182
TP53	TTC28	P04637	Q96AY4
TP53	UBR4	P04637	Q5T4S7
TP53	PSD3	P04637	Q9NYI0
TP53	OBSL1	P04637	O75147
TP53	PUM2	P04637	Q8TB72
TP53	SMG5	P04637	Q9UPR3
TP53	SF3B1	P04637	O75533
TP53	CAPN7	P04637	Q9Y6W3
TP53	PES1	P04637	O00541
TP53	RIMBP2	P04637	O15034
TP53	GLTSCR1L	P04637	-
TP53	HYAL4	P04637	Q2M3T9
TP53	GTPBP4	P04637	Q9BZE4
TP53	ORC3	P04637	Q9UBD5
TP53	PATZ1	P04637	Q9HBE1
TP53	CORO1C	P04637	Q9ULV4
TP53	MKRN1	P04637	Q9UHC7
TP53	NTSR2	P04637	O95665
TP53	EDC4	P04637	Q6P2E9
TP53	AIPL1	P04637	Q9NZN9
TP53	PRPF6	P04637	O94906
TP53	HECTD1	P04637	Q9ULT8
TP53	ASF1A	P04637	Q9Y294
TP53	GIGYF2	P04637	Q6Y7W6
TP53	LSM14A	P04637	Q8ND56
TP53	POLDIP2	P04637	Q9Y2S7
TP53	FBXW8	P04637	Q8N3Y1
TP53	FBXO4	P04637	Q9UKT5
TP53	SACS	P04637	Q9NZJ4
TP53	ANKRD2	P04637	Q9GZV1
TP53	GAPDHS	P04637	O14556
TP53	OR8G2	P04637	-
TP53	AGO1	P04637	Q9UL18
TP53	LATS2	P04637	Q9NRM7
TP53	AATF	P04637	Q9NY61
TP53	PABPC1	P04637	P11940
TP53	ATP2C1	P04637	P98194
TP53	PELP1	P04637	Q8IZL8
TP53	TAF5L	P04637	O75529
TP53	BBC3	P04637	Q9BXH1
TP53	DKK2	P04637	Q9UBU2
TP53	CPNE7	P04637	Q9UBL6
TP53	AGO2	P04637	Q9UKV8
TP53	GLS2	P04637	Q9UI32
TP53	MRPS28	P04637	Q9Y2Q9
TP53	MRPS18B	P04637	Q9Y676
TP53	HIPK2	P04637	Q9H2X6
TP53	SENP1	P04637	Q9P0U3
TP53	SNX12	P04637	Q9UMY4
TP53	PURG	P04637	Q9UJV8
TP53	PADI1	P04637	Q9ULC6
TP53	UBQLN2	P04637	Q9UHD9
TP53	EFEMP2	P04637	O95967
TP53	LAP3	P04637	P28838
TP53	POLR1D	P04637	P0DPB6
TP53	TRNT1	P04637	Q96Q11
TP53	RMDN1	P04637	Q96DB5
TP53	MRPS2	P04637	Q9Y399
TP53	RPL26L1	P04637	Q9UNX3
TP53	COPS4	P04637	Q9BT78
TP53	PHF20	P04637	Q9BVI0
TP53	NT5C3A	P04637	Q9H0P0
TP53	PLAC8	P04637	Q9NZF1
TP53	WAC	P04637	Q9BTA9
TP53	KLRF1	P04637	Q9NZS2
TP53	POMP	P04637	Q9Y244
TP53	EIF3L	P04637	Q9Y262
TP53	LIMA1	P04637	Q9UHB6
TP53	NELFCD	P04637	Q8IXH7
TP53	TRIAP1	P04637	O43715
TP53	SCLY	P04637	Q96I15
TP53	PIAS4	P04637	Q8N2W9
TP53	MRPS23	P04637	Q9Y3D9
TP53	NUB1	P04637	Q9Y5A7
TP53	NLK	P04637	Q9UBE8
TP53	WWOX	P04637	Q9NZC7
TP53	TUBA8	P04637	Q9NY65
TP53	SETD4	P04637	Q9NVD3
TP53	MRPL39	P04637	Q9NYK5
TP53	WNT4	P04637	P56705
TP53	EXOSC4	P04637	Q9NPD3
TP53	XAF1	P04637	Q6GPH4
TP53	RNF43	P04637	Q68DV7
TP53	YTHDF1	P04637	Q9BYJ9
TP53	HAUS4	P04637	Q9H6D7
TP53	TRMT10C	P04637	Q7L0Y3
TP53	RNF125	P04637	Q96EQ8
TP53	PTCD3	P04637	Q96EY7
TP53	THAP1	P04637	Q9NVV9
TP53	RFWD3	P04637	Q6PCD5
TP53	CEP55	P04637	Q53EZ4
TP53	RPRD1A	P04637	Q96P16
TP53	NEIL3	P04637	Q8TAT5
TP53	IMP3	P04637	Q9NV31
TP53	GOLGA2P5	P04637	-
TP53	OTUB1	P04637	Q96FW1
TP53	LIMS2	P04637	Q7Z4I7
TP53	SCYL2	P04637	Q6P3W7
TP53	KDM4D	P04637	Q6B0I6
TP53	ENAH	P04637	Q8N8S7
TP53	COA1	P04637	Q9GZY4
TP53	PRR11	P04637	Q96HE9
TP53	ZNF839	P04637	A8K0R7
TP53	PCID2	P04637	Q5JVF3
TP53	ZNF302	P04637	Q9NR11
TP53	RNF20	P04637	Q5VTR2
TP53	MCCC1	P04637	Q96RQ3
TP53	MRPS22	P04637	P82650
TP53	POGLUT1	P04637	Q8NBL1
TP53	ACKR3	P04637	P25106
TP53	C12orf5	P04637	-
TP53	PGLYRP4	P04637	Q96LB8
TP53	PELI2	P04637	Q9HAT8
TP53	CYP20A1	P04637	Q6UW02
TP53	BIRC6	P04637	Q9NR09
TP53	GATAD2B	P04637	Q8WXI9
TP53	TBC1D24	P04637	Q9ULP9
TP53	HECW2	P04637	Q9P2P5
TP53	ZNF398	P04637	Q8TD17
TP53	EP400	P04637	Q96L91
TP53	EPG5	P04637	Q9HCE0
TP53	CREBZF	P04637	Q9NS37
TP53	LY6G5B	P04637	Q8NDX9
TP53	LGR6	P04637	Q9HBX8
TP53	TGIF2	P04637	Q9GZN2
TP53	TRMT11	P04637	Q7Z4G4
TP53	TRAPPC11	P04637	Q7Z392
TP53	MRPS14	P04637	O60783
TP53	GPSM3	P04637	Q9Y4H4
TP53	NEUROG2	P04637	Q9H2A3
TP53	NPAS3	P04637	Q8IXF0
TP53	MCCC2	P04637	Q9HCC0
TP53	DCLRE1C	P04637	Q96SD1
TP53	MRPS25	P04637	P82663
TP53	MTHFSD	P04637	Q2M296
TP53	GNPNAT1	P04637	Q96EK6
TP53	NABP1	P04637	Q96AH0
TP53	ARMCX5	P04637	Q6P1M9
TP53	MRPS9	P04637	P82933
TP53	MRPS5	P04637	P82675
TP53	MRPL41	P04637	Q8IXM3
TP53	MRPL38	P04637	Q96DV4
TP53	DDX50	P04637	Q9BQ39
TP53	ERI3	P04637	O43414
TP53	PVRIG	P04637	Q6DKI7
TP53	CCDC86	P04637	Q9H6F5
TP53	WDR77	P04637	Q9BQA1
TP53	FBXL15	P04637	Q9H469
TP53	IRX1	P04637	P78414
TP53	DCAF10	P04637	Q5QP82
TP53	RNF128	P04637	Q8TEB7
TP53	MRPL24	P04637	Q96A35
TP53	MUL1	P04637	Q969V5
TP53	AAGAB	P04637	Q6PD74
TP53	KCTD17	P04637	Q8N5Z5
TP53	C12orf49	P04637	-
TP53	AGBL2	P04637	Q5U5Z8
TP53	TCEAL4	P04637	Q96EI5
TP53	MZT2B	P04637	Q6NZ67
TP53	SPSB1	P04637	Q96BD6
TP53	C16orf59	P04637	-
TP53	FBXO11	P04637	Q86XK2
TP53	ELL3	P04637	Q9HB65
TP53	TRIM45	P04637	Q9H8W5
TP53	ITPKC	P04637	Q96DU7
TP53	LRRC27	P04637	Q9C0I9
TP53	WDR82	P04637	Q6UXN9
TP53	RNF39	P04637	Q9H2S5
TP53	OR2L5	P04637	Q8NG80
TP53	TRIM8	P04637	Q9BZR9
TP53	SBF2	P04637	Q86WG5
TP53	CABLES2	P04637	Q9BTV7
TP53	C18orf21	P04637	Q32NC0
TP53	C11orf68	P04637	Q9H3H3
TP53	TRPT1	P04637	Q86TN4
TP53	ITCH	P04637	Q96J02
TP53	GRWD1	P04637	Q9BQ67
TP53	CCDC8	P04637	Q9H0W5
TP53	PRAM1	P04637	Q96QH2
TP53	WDR83	P04637	Q9BRX9
TP53	GFM2	P04637	Q969S9
TP53	DOT1L	P04637	Q8TEK3
TP53	MCM8	P04637	Q9UJA3
TP53	RETNLB	P04637	Q9BQ08
TP53	CCDC54	P04637	Q8NEL0
TP53	FUT10	P04637	Q6P4F1
TP53	PCGF1	P04637	Q9BSM1
TP53	TUBA1C	P04637	Q9BQE3
TP53	RPUSD4	P04637	Q96CM3
TP53	AIFM2	P04637	Q9BRQ8
TP53	DOCK7	P04637	Q96N67
TP53	CHRFAM7A	P04637	Q494W8
TP53	TMEM116	P04637	Q8NCL8
TP53	OTULIN	P04637	Q96BN8
TP53	SYT12	P04637	Q8IV01
TP53	CABLES1	P04637	Q8TDN4
TP53	ZNF300	P04637	Q96RE9
TP53	TIMM50	P04637	Q3ZCQ8
TP53	CPA5	P04637	Q8WXQ8
TP53	RDH13	P04637	Q8NBN7
TP53	MED8	P04637	Q96G25
TP53	TMEM200A	P04637	Q86VY9
TP53	HAUS1	P04637	Q96CS2
TP53	TOP1MT	P04637	Q969P6
TP53	TADA1	P04637	Q96BN2
TP53	MIA2	P04637	-
TP53	LOH12CR1	P04637	-
TP53	FAM24A	P04637	A6NFZ4
TP53	CSNK1A1L	P04637	Q8N752
TP53	MSI2	P04637	Q96DH6
TP53	SLC38A10	P04637	Q9HBR0
TP53	RAVER1	P04637	Q8IY67
TP53	MFSD12	P04637	Q6NUT3
TP53	TMCO2	P04637	Q7Z6W1
TP53	NKAIN4	P04637	Q8IVV8
TP53	CHMP4B	P04637	Q9H444
TP53	ACVR1C	P04637	Q8NER5
TP53	KLHL40	P04637	Q2TBA0
TP53	TRIM71	P04637	Q2Q1W2
TP53	LRRC15	P04637	Q8TF66
TP53	TAMM41	P04637	Q96BW9
TP53	LIN54	P04637	Q6MZP7
TP53	TRAM1L1	P04637	Q8N609
TP53	HINT3	P04637	Q9NQE9
TP53	PACRG	P04637	Q96M98
TP53	ABHD16B	P04637	Q9H3Z7
TP53	RPL10L	P04637	Q96L21
TP53	TMEM86A	P04637	Q8N2M4
TP53	PRIMA1	P04637	Q86XR5
TP53	GLIS1	P04637	Q8NBF1
TP53	CNIH3	P04637	Q8TBE1
TP53	MB21D2	P04637	Q8IYB1
TP53	RNF38	P04637	Q9H0F5
TP53	NFXL1	P04637	Q6ZNB6
TP53	DAB2IP	P04637	Q5VWQ8
TP53	ZMAT2	P04637	Q96NC0
TP53	SLC2A12	P04637	Q8TD20
TP53	EEF1A1P5	P04637	-
TP53	STOML3	P04637	Q8TAV4
TP53	TBC1D21	P04637	Q8IYX1
TP53	SLFN5	P04637	Q08AF3
TP53	LGI4	P04637	Q8N135
TP53	TOR1AIP2	P04637	Q9H496
TP53	ZNF679	P04637	Q8IYX0
TP53	CADM4	P04637	Q8NFZ8
TP53	CRTC2	P04637	Q53ET0
TP53	TRIM65	P04637	Q6PJ69
TP53	STT3B	P04637	Q8TCJ2
TP53	TUBB	P04637	P07437
TP53	SPESP1	P04637	Q6UW49
TP53	STXBP4	P04637	Q6ZWJ1
TP53	ASPM	P04637	Q8IZT6
TP53	MAGI3	P04637	Q5TCQ9
TP53	DAOA	P04637	P59103
TP53	ZNF763	P04637	Q0D2J5
TP53	SLC25A34	P04637	Q6PIV7
TP53	SLC9A9	P04637	Q8IVB4
TP53	ZNF619	P04637	Q8N2I2
TP53	MAGEB18	P04637	Q96M61
TP53	TRIM42	P04637	Q8IWZ5
TP53	TAS2R60	P04637	P59551
TP53	JMJD8	P04637	Q96S16
TP53	RGAG4	P04637	-
TP53	FCRL6	P04637	Q6DN72
TP53	SAMD7	P04637	Q7Z3H4
TP53	ACTBL2	P04637	Q562R1
TP53	FAM174A	P04637	Q8TBP5
TP53	RPL36P14	P04637	-
TP53	PTCHD3	P04637	Q3KNS1
TP53	RPL27AP6	P04637	-
TP53	OR51M1	P04637	Q9H341
TP53	YY2	P04637	O15391
TP53	ASTL	P04637	Q6HA08
TP53	PRY2	P04637	-
TP53	LOC554223	P04637	-
TP53	LOC613037	P04637	-
TP53	ARL14EPL	P04637	P0DKL9
TP53	ZCCHC18	P04637	P0CG32
TP53	SPATA31A1	P04637	-
TP53	MORN2	P04637	Q502X0
TP53	RPL29P11	P04637	-
TP53	RPS15P2	P04637	-
TP53	FAM47E-STBD1	P04637	-
TP53BP1	PML	Q12888	P29590
TP53BP1	MAPK1	Q12888	P28482
TP53BP1	MAPK3	Q12888	P27361
TP53BP2	BCL2	Q13625	P10415
TP73	MYC	O15350	P01106
TP73	RB1	O15350	P06400
TPD52	ENO2	P55327	P09104
TPM1	IKBKG	P09493	Q9Y6K9
TPT1	TP53	P13693	P04637
NR2C1	PML	P13056	P29590
NR2C2	PRDX1	P49116	Q06830
NR2C2	STAT3	P49116	P40763
NR2C2	TK1	P49116	P04183
HSP90B1	STAT3	P14625	P40763
HSP90B1	TP53	P14625	P04637
TRAF2	IKBKG	Q12933	Q9Y6K9
TRAF6	CTNNB1	Q9Y4K3	P35222
TRAF6	KRAS	Q9Y4K3	P01116
TRAF6	PRDX1	Q9Y4K3	Q06830
TRAF6	TP53	Q9Y4K3	P04637
TRAF6	SOCS1	Q9Y4K3	O15524
TRIP6	FAS	Q15654	P25445
TRPC6	TNFRSF10B	Q9Y210	O14763
TSG101	TP53	Q99816	P04637
TSHR	STAT3	P16473	P40763
TSNAX	PRDX1	Q99598	Q06830
TSNAX	RRAS2	Q99598	P62070
TSPY1	TP53	Q01534	P04637
TTC1	HRAS	Q99614	P01112
TTK	TP53	P33981	P04637
TTPA	APOC2	P49638	P02655
TULP3	PML	O75386	P29590
TULP3	MAPK3	O75386	P27361
HIRA	MYC	P54198	P01106
TXN	PRDX1	P10599	Q06830
TXN	TP53	P10599	P04637
TXNRD1	TP53	Q16881	P04637
TYK2	SOCS1	P29597	O15524
UBC	GLUL	P0CG48	P15104
UBC	GSTP1	P0CG48	P09211
UBC	PRDX1	P0CG48	Q06830
UBC	IKBKG	P0CG48	Q9Y6K9
UBA1	MAPK3	P22314	P27361
UBE2A	GSTP1	P49459	P09211
UBE2A	TP53	P49459	P04637
UBE2B	TP53	P63146	P04637
UBE2D1	F12	P51668	P00748
UBE2D1	TP53	P51668	P04637
UBE2D2	F12	P62837	P00748
UBE2D3	F12	P61077	P00748
UBE2D3	TP53	P61077	P04637
UBE2E1	F12	P51965	P00748
UBE2I	BCL2L1	P63279	Q07817
UBE2I	FOXM1	P63279	Q08050
UBE2I	PML	P63279	P29590
UBE2I	RB1	P63279	P06400
UBE2I	SOX4	P63279	Q06945
UBE2I	TP53	P63279	P04637
UBE2I	IKBKG	P63279	Q9Y6K9
UBE2L3	TP53	P68036	P04637
UBE2N	F12	P61088	P00748
UBE3A	CTNNB1	Q05086	P35222
UBE3A	PRDX1	Q05086	Q06830
UBE3A	PML	Q05086	P29590
UBE3A	MAPK1	Q05086	P28482
SUMO1	FAS	P63165	P25445
SUMO1	TP53	P63165	P04637
UCHL1	CTNNB1	P09936	P35222
UCHL1	TP53	P09936	P04637
UCHL3	CDH1	P15374	P12830
UCHL3	FOXM1	P15374	Q08050
UPK1B	GJB1	O75841	P08034
UFD1L	GLUL	-	P15104
UFD1L	TP53	-	P04637
USP4	RB1	Q13107	P06400
UQCRB	CTNNB1	P14927	P35222
UQCRC1	CTNNB1	P31930	P35222
VAV1	MAPK1	P15498	P28482
VCAM1	GSTP1	P19320	P09211
VCAM1	PRDX1	P19320	Q06830
VCP	CP	P55072	P00450
VCP	GLUL	P55072	P15104
VCP	MAPK1	P55072	P28482
VCP	MAPK3	P55072	P27361
VCP	TP53	P55072	P04637
VDAC3	HRAS	Q9Y277	P01112
VDR	TP53	P11473	P04637
VEGFA	GJB1	P15692	P08034
VEGFA	KDR	P15692	P35968
VEGFC	KDR	P49767	P35968
VHL	JAK2	P40337	O60674
VHL	PRDX1	P40337	Q06830
VHL	TP53	P40337	P04637
VHL	SOCS1	P40337	O15524
EZR	ENO2	P15311	P09104
EZR	TNFRSF10B	P15311	O14763
VRK1	TP53	Q99986	P04637
VRK2	TP53	Q86Y07	P04637
VTN	TGFB1	P04004	P01137
WEE1	RB1	P30291	P06400
WHSC1	CTNNB1	-	P35222
WHSC1	PRDX1	-	Q06830
WNT11	CCNDBP1	O96014	O95273
WRN	PML	Q14191	P29590
WRN	TP53	Q14191	P04637
WT1	MYC	P19544	P01106
WT1	SOX4	P19544	Q06945
WT1	TP53	P19544	P04637
XPO1	CTNNB1	O14980	P35222
XPO1	TP53	O14980	P04637
XRCC1	PML	P18887	P29590
XRCC1	TP53	P18887	P04637
YY1	MYC	P25490	P01106
YY1	RB1	P25490	P06400
YWHAB	TP53	P31946	P04637
YWHAE	TGFB1	P62258	P01137
YWHAG	HGF	P61981	P14210
YWHAZ	TP53	P63104	P04637
SF1	PML	Q15637	P29590
ZFP36	TNF	P26651	P01375
ZNF20	CCNDBP1	P17024	O95273
ZNF24	TP53	P17028	P04637
ZNF124	CCNDBP1	Q15973	O95273
ZNF131	TK1	P52739	P04183
ZNF136	CCNDBP1	P52737	O95273
ZBTB16	TP53	Q05516	P04637
TRIM25	CCND1	Q14258	P24385
TRIM25	SLC31A1	Q14258	O15431
TRIM25	CTNNB1	Q14258	P35222
TRIM25	FOXM1	Q14258	Q08050
TRIM25	GLUL	Q14258	P15104
TRIM25	MYC	Q14258	P01106
TRIM25	PRDX1	Q14258	Q06830
TRIM25	PML	Q14258	P29590
TRIM25	MAPK1	Q14258	P28482
TRIM25	STAT3	Q14258	P40763
TRIM25	TGFB1	Q14258	P01137
TRIM25	TP53	Q14258	P04637
TRIM25	TNFRSF10B	Q14258	O14763
ZBTB17	MYC	Q13105	P01106
ZSCAN26	CCNDBP1	Q16670	O95273
ZMYM2	PML	Q9UBW7	P29590
ZNF202	TK1	O95125	P04183
ZFAND5	IKBKG	O76080	Q9Y6K9
ZNF230	CCNDBP1	Q9UIE0	O95273
ZNF232	TK1	Q9UNY5	P04183
SLC30A4	TNF	O14863	P01375
PRDM2	TP53	Q13029	P04637
PTP4A1	MAPK1	Q93096	P28482
TUBA1A	MYC	Q71U36	P01106
TUBA1A	RB1	Q71U36	P06400
CXCR4	JAK2	P61073	O60674
USP7	MYC	Q93009	P01106
USP7	PML	Q93009	P29590
USP7	RB1	Q93009	P06400
BAG6	FAS	P46379	P25445
DDX39B	CTNNB1	Q13838	P35222
DDX39B	PRDX1	Q13838	Q06830
AIMP2	KDR	Q13155	P35968
KAT6A	PML	Q92794	P29590
KAT6A	TP53	Q92794	P04637
BRD3	TP53	Q15059	P04637
CUL5	PRDX1	Q93034	Q06830
CUL5	CCNDBP1	Q93034	O95273
PTP4A2	MAPK1	Q12974	P28482
YEATS4	MYC	O95619	P01106
HMGA2	TP53	P52926	P04637
GAN	PRDX1	Q9H2C0	Q06830
